anomaly_fraction,roc_auc,pr_auc
0.01,0.5856728285106088,0.1549367770302331
0.05,0.6266439111127955,0.1613275448242642
0.1,0.5750989021748056,0.1541151980713761
0.2,0.55356804242229,0.14748972394130277
